Feature,Importance
Researched,0.23283196783988308
Days_Since_First_Intake,0.12994055746872338
Result,0.10497246189985258
Course,0.07516183746803377
Political_Phase,0.06358531261589032
Budget_Level,0.05746607005404025
Budget_Academic_Score,0.05628063666236869
Institution,0.054303640008502414
Budget_Midpoint,0.05337582576102752
Country,0.04257748603997309
Intake_Month,0.0379771860982187
Phase_Number,0.03205749685204606
Result_Band,0.014864362654459775
Intake_Season,0.013221259944342364
Intake_Year,0.012729526941283932
GPA_Academic_Match,0.011130518002012368
Academic_Level,0.007523853689341744
