Name,Result,Course,Country,Institution,Budget,Researched,Political_Phase,Budget_Level,Academic_Level,Continuation,Dataset_Type,Intake_Month,Intake_Year,Intake_Season,Days_Since_First_Intake,Budget_Midpoint,Phase_Number,Result_Band,Budget_Academic_Score,GPA_Academic_Match
STU_01,3.45,17,2,6,16-20K,1,1,2,1,1,Stable,1,2024,1,69,18000,0,2,3,0
STU_02,3.06,8,7,0,16-20K,1,1,2,1,1,Stable,12,2023,4,54,18000,0,1,3,1
STU_03,2.93,19,6,10,10-15K,1,1,1,1,1,Stable,2,2024,1,110,12500,0,0,2,0
STU_04,3.91,8,7,0,10-15K,0,1,1,2,0,Stable,3,2024,1,143,12500,0,2,3,1
STU_05,2.96,22,3,8,10-15K,0,1,1,1,0,Stable,11,2023,4,1,12500,0,0,2,0
STU_06,2.0,7,3,8,Below 10k,1,1,0,0,1,Stable,1,2024,1,87,8000,0,0,0,1
STU_07,3.15,4,4,13,Below 10k,0,1,0,1,0,Stable,2,2024,1,99,8000,0,1,1,1
STU_08,2.28,9,0,5,10-15K,0,1,1,0,0,Stable,11,2023,4,3,12500,0,0,1,1
STU_09,3.82,19,6,1,Below 10k,0,1,0,2,1,Stable,1,2024,1,87,8000,0,2,2,1
STU_10,3.29,11,5,9,16-20K,1,1,2,1,1,Stable,1,2024,1,70,18000,0,1,3,1
STU_11,3.85,14,0,2,16-20K,0,1,2,2,1,Stable,3,2024,1,138,18000,0,2,4,1
STU_12,3.24,16,4,13,16-20K,1,1,2,1,1,Stable,2,2024,1,93,18000,0,1,3,1
STU_13,3.23,9,7,0,16-20K,0,1,2,1,1,Stable,1,2024,1,90,18000,0,1,3,1
STU_14,3.07,12,3,8,10-15K,0,1,1,1,0,Stable,3,2024,1,129,12500,0,1,2,1
STU_15,3.15,13,5,9,Below 10k,0,1,0,1,0,Stable,12,2023,4,37,8000,0,1,1,1
STU_16,2.82,5,1,11,10-15K,0,1,1,1,1,Stable,12,2023,4,39,12500,0,0,2,0
STU_17,2.99,16,6,10,16-20K,0,1,2,1,1,Stable,2,2024,1,119,18000,0,0,3,0
STU_18,3.21,16,4,13,Below 10k,1,1,0,1,1,Stable,12,2023,4,36,8000,0,1,1,1
STU_19,2.06,18,1,11,16-20K,1,1,2,0,1,Stable,11,2023,4,2,18000,0,0,2,1
STU_20,3.01,19,6,14,Below 10k,1,1,0,1,1,Stable,2,2024,1,103,8000,0,1,1,1
STU_21,2.34,14,0,15,16-20K,0,1,2,0,1,Stable,3,2024,1,140,18000,0,0,2,1
STU_22,3.53,7,7,0,Below 10k,0,1,0,2,0,Stable,1,2024,1,79,8000,0,2,2,1
STU_23,3.34,8,7,0,16-20K,1,1,2,1,1,Stable,12,2023,4,40,18000,0,1,3,1
STU_24,2.85,13,5,9,Below 10k,1,1,0,1,1,Stable,11,2023,4,5,8000,0,0,1,0
STU_25,2.79,15,6,14,Below 10k,0,1,0,1,0,Stable,2,2024,1,93,8000,0,0,1,0
STU_26,3.56,7,3,8,10-15K,1,1,1,2,1,Stable,3,2024,1,138,12500,0,2,3,1
STU_27,3.88,9,0,4,Below 10k,0,1,0,2,0,Stable,2,2024,1,95,8000,0,2,2,1
STU_28,2.78,9,2,6,10-15K,1,1,1,1,1,Stable,2,2024,1,98,12500,0,0,2,0
STU_29,3.41,10,7,0,Below 10k,0,1,0,1,0,Stable,11,2023,4,12,8000,0,2,1,0
STU_30,3.02,0,7,0,16-20K,1,1,2,1,1,Stable,3,2024,1,126,18000,0,1,3,1
STU_31,3.18,4,4,13,Below 10k,1,1,0,1,1,Stable,2,2024,1,117,8000,0,1,1,1
STU_32,2.06,2,5,9,16-20K,1,1,2,0,1,Stable,12,2023,4,46,18000,0,0,2,1
STU_33,2.41,8,7,0,Below 10k,0,1,0,0,0,Stable,3,2024,1,129,8000,0,0,0,1
STU_34,3.14,7,3,8,16-20K,0,1,2,1,1,Stable,12,2023,4,41,18000,0,1,3,1
STU_35,2.36,16,4,13,10-15K,0,1,1,0,0,Stable,12,2023,4,47,12500,0,0,1,1
STU_36,3.9,7,7,0,Below 10k,0,1,0,2,0,Stable,2,2024,1,98,8000,0,2,2,1
STU_37,3.44,2,5,9,10-15K,0,1,1,1,0,Stable,11,2023,4,8,12500,0,2,2,0
STU_38,3.37,3,2,6,16-20K,0,1,2,1,1,Stable,1,2024,1,75,18000,0,1,3,1
STU_39,3.85,0,7,0,10-15K,1,1,1,2,1,Stable,1,2024,1,67,12500,0,2,3,1
STU_40,3.02,4,4,13,10-15K,0,1,1,1,0,Stable,11,2023,4,23,12500,0,1,2,1
STU_41,2.66,19,6,1,16-20K,1,1,2,1,0,Stable,12,2023,4,37,18000,0,0,3,0
STU_42,2.43,5,3,8,10-15K,1,1,1,0,0,Stable,12,2023,4,60,12500,0,0,1,1
STU_43,2.38,7,1,18,Below 10k,1,1,0,0,0,Stable,3,2024,1,142,8000,0,0,0,1
