Name,Result,Course,Country,Institution,Budget,Researched,Political_Phase,Budget_Level,Academic_Level,Continuation,Dataset_Type,Intake_Month,Intake_Year,Intake_Season,Days_Since_First_Intake,Budget_Midpoint,Phase_Number,Result_Band,Budget_Academic_Score,GPA_Academic_Match
STU_2401,3.4,9,0,4,Below 10k,0,0,0,1,0,Transitional,3,2026,1,855,8000,3,2,1,0
STU_2402,3.18,7,7,0,16-20K,1,0,2,1,0,Transitional,5,2026,2,919,18000,3,1,3,1
STU_2403,3.11,20,1,11,10-15K,1,0,1,1,0,Transitional,2,2026,1,849,12500,3,1,2,1
STU_2404,3.47,0,1,17,Below 10k,1,0,0,1,0,Transitional,6,2026,2,968,8000,3,2,1,0
STU_2405,2.68,19,6,14,Below 10k,1,0,0,1,0,Transitional,4,2026,2,909,8000,3,0,1,0
STU_2406,3.57,12,3,8,16-20K,0,0,2,2,0,Transitional,2,2026,1,828,18000,3,2,4,1
STU_2407,3.22,7,3,8,Below 10k,1,0,0,1,0,Transitional,2,2026,1,848,8000,3,1,1,1
STU_2408,3.3,9,2,6,16-20K,1,0,2,1,0,Transitional,5,2026,2,940,18000,3,1,3,1
STU_2409,3.34,12,6,3,10-15K,1,0,1,1,0,Transitional,5,2026,2,921,12500,3,1,2,1
STU_2410,3.13,2,5,9,Below 10k,0,0,0,1,0,Transitional,6,2026,2,966,8000,3,1,1,1
STU_2411,3.27,10,2,6,10-15K,1,0,1,1,0,Transitional,3,2026,1,871,12500,3,1,2,1
STU_2412,3.32,21,0,5,16-20K,0,0,2,1,0,Transitional,6,2026,2,950,18000,3,1,3,1
STU_2413,3.42,2,5,9,16-20K,0,0,2,1,0,Transitional,4,2026,2,885,18000,3,2,3,0
STU_2414,3.29,9,0,15,Below 10k,1,0,0,1,0,Transitional,3,2026,1,864,8000,3,1,1,1
STU_2415,3.45,7,3,8,10-15K,0,0,1,1,0,Transitional,4,2026,2,885,12500,3,2,2,0
STU_2416,2.71,2,5,9,16-20K,0,0,2,1,0,Transitional,5,2026,2,926,18000,3,0,3,0
STU_2417,2.93,5,0,2,Below 10k,1,0,0,1,0,Transitional,3,2026,1,864,8000,3,0,1,0
STU_2418,3.43,9,7,0,16-20K,0,0,2,1,1,Transitional,4,2026,2,887,18000,3,2,3,0
STU_2419,3.18,12,6,14,16-20K,0,0,2,1,0,Transitional,2,2026,1,845,18000,3,1,3,1
STU_2420,3.23,8,7,0,10-15K,0,0,1,1,0,Transitional,2,2026,1,846,12500,3,1,2,1
STU_2421,3.27,1,4,13,16-20K,0,0,2,1,0,Transitional,3,2026,1,876,18000,3,1,3,1
STU_2422,3.36,6,1,11,Below 10k,1,0,0,1,0,Transitional,5,2026,2,933,8000,3,1,1,1
STU_2423,3.1,6,6,14,Below 10k,0,0,0,1,0,Transitional,2,2026,1,844,8000,3,1,1,1
STU_2424,3.16,9,2,6,Below 10k,0,0,0,1,0,Transitional,4,2026,2,896,8000,3,1,1,1
STU_2425,3.17,10,7,0,10-15K,0,0,1,1,0,Transitional,6,2026,2,956,12500,3,1,2,1
STU_2426,3.02,11,5,9,Below 10k,0,0,0,1,0,Transitional,5,2026,2,923,8000,3,1,1,1
STU_2427,3.37,4,4,13,10-15K,0,0,1,1,1,Transitional,4,2026,2,903,12500,3,1,2,1
STU_2428,3.25,22,3,8,16-20K,0,0,2,1,0,Transitional,5,2026,2,937,18000,3,1,3,1
STU_2429,3.39,1,4,13,10-15K,1,0,1,1,0,Transitional,4,2026,2,894,12500,3,1,2,1
STU_2430,3.21,0,7,0,Below 10k,0,0,0,1,0,Transitional,2,2026,1,825,8000,3,1,1,1
STU_2431,3.73,8,7,0,10-15K,0,0,1,2,0,Transitional,6,2026,2,944,12500,3,2,3,1
STU_2432,3.45,11,5,9,10-15K,1,0,1,1,0,Transitional,2,2026,1,838,12500,3,2,2,0
STU_2433,3.37,0,1,11,16-20K,1,0,2,1,0,Transitional,2,2026,1,848,18000,3,1,3,1
STU_2434,3.6,21,0,5,10-15K,1,0,1,2,1,Transitional,3,2026,1,867,12500,3,2,3,1
