Name,Result,Course,Country,Institution,Budget,Researched,Political_Phase,Budget_Level,Academic_Level,Continuation,Dataset_Type,Intake_Month,Intake_Year,Intake_Season,Days_Since_First_Intake,Budget_Midpoint,Phase_Number,Result_Band,Budget_Academic_Score,GPA_Academic_Match
STU_4801,3.45,0,7,0,16-20K,1,3,2,1,1,Transitional_Phase_2,1,2026,1,795,18000,2,2,3,0
STU_4802,3.27,21,0,5,16-20K,1,3,2,1,1,Transitional_Phase_2,12,2025,4,766,18000,2,1,3,1
STU_4803,2.84,0,7,0,Below 10k,0,3,0,1,1,Transitional_Phase_2,11,2025,4,742,8000,2,0,1,0
STU_4804,3.22,6,1,18,16-20K,1,3,2,1,1,Transitional_Phase_2,1,2026,1,811,18000,2,1,3,1
STU_4805,3.47,5,3,8,10-15K,1,3,1,1,1,Transitional_Phase_2,10,2025,4,719,12500,2,2,2,0
STU_4806,2.66,11,5,9,Below 10k,0,3,0,1,0,Transitional_Phase_2,9,2025,3,681,8000,2,0,1,0
STU_4807,3.29,22,3,8,10-15K,0,3,1,1,0,Transitional_Phase_2,9,2025,3,672,12500,2,1,2,1
STU_4808,3.36,11,5,9,Below 10k,0,3,0,1,0,Transitional_Phase_2,9,2025,3,685,8000,2,1,1,1
STU_4809,2.82,1,4,13,16-20K,0,3,2,1,0,Transitional_Phase_2,1,2026,1,796,18000,2,0,3,0
STU_4810,3.01,10,2,6,10-15K,1,3,1,1,0,Transitional_Phase_2,1,2026,1,799,12500,2,1,2,1
STU_4811,3.15,18,0,16,Below 10k,0,3,0,1,0,Transitional_Phase_2,9,2025,3,691,8000,2,1,1,1
STU_4812,3.12,22,3,8,10-15K,0,3,1,1,0,Transitional_Phase_2,12,2025,4,783,12500,2,1,2,1
STU_4813,3.36,19,6,1,16-20K,0,3,2,1,0,Transitional_Phase_2,10,2025,4,724,18000,2,1,3,1
STU_4814,3.22,3,2,6,10-15K,0,3,1,1,0,Transitional_Phase_2,9,2025,3,675,12500,2,1,2,1
STU_4815,3.3,17,2,6,16-20K,1,3,2,1,1,Transitional_Phase_2,11,2025,4,753,18000,2,1,3,1
STU_4816,3.38,12,6,14,16-20K,0,3,2,1,0,Transitional_Phase_2,11,2025,4,745,18000,2,1,3,1
STU_4817,2.32,16,4,13,10-15K,0,3,1,0,0,Transitional_Phase_2,1,2026,1,794,12500,2,0,1,1
STU_4818,3.36,5,1,18,16-20K,1,3,2,1,1,Transitional_Phase_2,10,2025,4,705,18000,2,1,3,1
STU_4819,3.16,12,3,8,10-15K,0,3,1,1,0,Transitional_Phase_2,11,2025,4,733,12500,2,1,2,1
STU_4820,3.14,6,6,12,Below 10k,1,3,0,1,0,Transitional_Phase_2,1,2026,1,797,8000,2,1,1,1
STU_4821,3.3,11,5,9,Below 10k,0,3,0,1,0,Transitional_Phase_2,10,2025,4,707,8000,2,1,1,1
STU_4822,2.67,10,2,6,16-20K,1,3,2,1,1,Transitional_Phase_2,11,2025,4,743,18000,2,0,3,0
STU_4823,3.14,0,7,0,16-20K,1,3,2,1,1,Transitional_Phase_2,12,2025,4,772,18000,2,1,3,1
STU_4824,3.28,5,1,17,16-20K,1,3,2,1,1,Transitional_Phase_2,12,2025,4,767,18000,2,1,3,1
STU_4825,3.34,17,2,6,10-15K,0,3,1,1,0,Transitional_Phase_2,1,2026,1,804,12500,2,1,2,1
STU_4826,3.25,21,0,2,16-20K,0,3,2,1,0,Transitional_Phase_2,10,2025,4,710,18000,2,1,3,1
STU_4827,3.44,8,7,0,Below 10k,0,3,0,1,0,Transitional_Phase_2,1,2026,1,822,8000,2,2,1,0
