Name,Result,Course,Country,Institution,Budget,Researched,Political_Phase,Budget_Level,Academic_Level,Continuation,Dataset_Type,Intake_Month,Intake_Year,Intake_Season,Days_Since_First_Intake,Budget_Midpoint,Phase_Number,Result_Band,Budget_Academic_Score,GPA_Academic_Match
STU_1201,2.11,13,0,15,Below 10k,1,4,0,0,0,Unstable,4,2024,2,153,8000,4,0,0,1
STU_1202,2.54,5,3,8,10-15K,1,4,1,1,0,Unstable,7,2024,3,246,12500,4,0,2,0
STU_1203,3.23,7,3,8,10-15K,0,4,1,1,1,Unstable,6,2024,2,230,12500,4,1,2,1
STU_1204,3.28,12,6,3,16-20K,0,4,2,1,0,Unstable,4,2024,2,159,18000,4,1,3,1
STU_1205,3.24,0,7,0,10-15K,0,4,1,1,0,Unstable,6,2024,2,220,12500,4,1,2,1
STU_1206,2.19,18,0,4,16-20K,1,4,2,0,1,Unstable,6,2024,2,224,18000,4,0,2,1
STU_1207,3.27,0,1,11,10-15K,1,4,1,1,1,Unstable,7,2024,3,271,12500,4,1,2,1
STU_1208,3.14,9,7,0,Below 10k,0,4,0,1,0,Unstable,4,2024,2,176,8000,4,1,1,1
STU_1209,2.09,18,0,15,Below 10k,1,4,0,0,0,Unstable,5,2024,2,212,8000,4,0,0,1
STU_1210,3.31,14,4,13,Below 10k,1,4,0,1,0,Unstable,7,2024,3,257,8000,4,1,1,1
STU_1211,3.24,17,2,6,16-20K,1,4,2,1,1,Unstable,7,2024,3,272,18000,4,1,3,1
STU_1212,3.19,7,1,18,Below 10k,0,4,0,1,0,Unstable,4,2024,2,162,8000,4,1,1,1
STU_1213,3.24,5,1,11,10-15K,0,4,1,1,0,Unstable,6,2024,2,227,12500,4,1,2,1
STU_1214,3.16,7,7,0,Below 10k,1,4,0,1,0,Unstable,5,2024,2,195,8000,4,1,1,1
STU_1215,3.22,0,1,17,10-15K,1,4,1,1,1,Unstable,4,2024,2,175,12500,4,1,2,1
STU_1216,2.93,21,0,16,16-20K,0,4,2,1,0,Unstable,5,2024,2,199,18000,4,0,3,0
STU_1217,3.26,16,4,13,Below 10k,1,4,0,1,0,Unstable,5,2024,2,207,8000,4,1,1,1
